,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,View Zerodha's guide on using tax reports for filing.,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,Client ID,QM1509,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,Equity Holdings Statement as on 2026-05-10,,,,,,,,,,,
,,,,,,,,,,,,
,Summary,,,,,,,,,,,
,,,,,,,,,,,,
,Invested Value,2164695.6825,,,,,,,,,,
,Present Value,2749423.3,,,,,,,,,,
,Unrealized P&L,584727.6175,,,,,,,,,,
,Unrealized P&L Pct.,27.012,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,Symbol,ISIN,Sector,Quantity Available,Quantity Discrepant,Quantity Long Term,Quantity Pledged (Margin),Quantity Pledged (Loan),Average Price,Previous Closing Price,Unrealized P&L,Unrealized P&L Pct.
,ICEMAKE,INE520Y01019,ENGINEERING & CAPITAL GOODS,3,0,0,0,0,803.5333,794,-28.6,-1.1864
,ICICIBANK,INE090A01021,FINANCIAL SERVICES,33,0,5,0,0,1192.9727,1264.8,2370.3,6.0209
,INDIGO,INE646L01027,AVIATION,2,0,0,0,0,5750,4522.7,-2454.6,-21.3443
,INDUSINDBK,INE095A01012,FINANCIAL SERVICES,4,0,4,0,0,1010,950.75,-237,-5.8663
,INE1CDF01017,,UNLISTED,5,5,0,0,0,0,0,0,0
,INE1CLE01013,,UNLISTED,5,5,0,0,0,0,0,0,0
,INE694L01019,,UNLISTED,5,5,0,0,0,0,0,0,0
,INE704J01044,,UNLISTED,5,5,0,0,0,0,0,0,0
,INFY,INE009A01021,SOFTWARE SERVICES,2,0,0,0,0,1599.3,1179.2,-840.2,-26.2677
,IOLCP,INE485C01029,HEALTHCARE,50,0,50,0,0,111.81,96.98,-741.5,-13.2636
,IONEXCHANG,INE570A01022,ENGINEERING & CAPITAL GOODS,25,0,0,0,0,423.65,419.25,-110,-1.0386
,IPCALAB,INE571A01038,HEALTHCARE,56,0,0,0,0,1571.3018,1552.6,-1047.3,-1.1902
,ITC,INE154A01025,FMCG,13,0,13,0,0,415.0888,307.45,-1399.3043,-25.9315
,ITCHOTELS,INE379A01028,TOURISM & HOSPITALITY,1,0,1,0,0,648.3813,164.65,-483.7313,-74.606
,JBCHEPHARM,INE572A01036,HEALTHCARE,3,0,0,0,0,2149,2151.9,8.7,0.1349
,JIOFIN,INE758E01017,FINANCIAL SERVICES,54,0,4,0,0,233.2096,249.34,871.0412,6.9167
,JSWSTEEL,INE019A01038,METALS,4,0,4,0,0,669.5,1277.8,2433.2,90.8588
,JUNIORBEES,INF732E01045,ETF,36,0,0,0,0,746.7403,771.73,899.63,3.3465
,KFINTECH,INE138Y01010,FINANCIAL SERVICES,4,0,0,0,0,920.75,916.3,-17.8,-0.4833
,KOTAKBANK,INE237A01036,FINANCIAL SERVICES,10,0,10,0,0,334,380.8,468,14.012
,KPITTECH,INE04I401011,SOFTWARE SERVICES,3,0,0,0,0,894.7833,729.15,-496.9,-18.511
,KSB,INE999A01023,ENGINEERING & CAPITAL GOODS,107,0,0,0,0,820.4565,877.35,6087.6,6.9344
,KWIL,INE2KCE01013,MISCELLANEOUS,4,0,4,0,0,44.6071,29.23,-61.5084,-34.4723
,LAURUSLABS,INE947Q01028,HEALTHCARE,10,0,10,0,0,668.75,1229.45,5607,83.843
,LIQUIDBEES-F,INF732E01037,ETF,0.081,0,0.083,0,0,867.4786,1000,8.9993,12.4989
,LT,INE018A01030,ENGINEERING & CAPITAL GOODS,27,0,11,0,0,3342.0944,3974.5,17074.95,18.9224
,MARICO,INE196A01026,FMCG,121,0,0,0,0,711.5798,831.7,14534.55,16.8808
,MFCL30424-F,INE549K07DR2,DEBT,20,0,20,0,0,1000,1195.08,3901.6,19.508
,MINDSPACE-RR,INE0CCU25019,REAL ESTATE,194,0,0,0,0,414.1839,464.99,9856.39,12.2666
,M&MFIN,INE774D01024,FINANCIAL SERVICES,15,0,0,0,0,313.95,339.1,377.25,8.0108
,NATCOPHARM,INE987B01026,HEALTHCARE,3,0,0,0,0,957.2833,1174.7,652.25,22.7118
,NATIONALUM,INE139A01034,METALS,35,0,0,0,0,185.5,401.95,7575.75,116.6846
,NESTLEIND,INE239A01024,FMCG,3,0,0,0,0,1183.8333,1482.4,895.7,25.2203
,NIFTYBEES,INF204KB14I2,ETF,435,0,127,0,0,277.8306,274.07,-1635.85,-1.3535
,NXST-RR,INE0NDH25011,FINANCIAL SERVICES,589,0,0,0,0,141.7885,156.88,8888.87,10.6436
,OIL,INE274J01014,ENERGY,19,0,15,0,0,419.8842,454.4,655.8,8.2203
,OLECTRA,INE260D01016,AUTO ANCILLARY,6,0,6,0,0,1600,1340.7,-1555.8,-16.2063
,PARAS,INE045601023,DEFENCE,10,0,10,0,0,360,866.6,5066,140.7222
,PERSISTENT,INE262H01021,SOFTWARE SERVICES,2,0,2,0,0,2242.5,5113.8,5742.6,128.0401
,PVRINOX,INE191H01014,MEDIA & ENTERTAINMENT,2,0,2,0,0,1505,1074.05,-861.9,-28.6346
,RAINBOW,INE961O01016,HEALTHCARE,71,0,0,0,0,1305.593,1304.85,-52.75,-0.0569
,RELIANCE,INE002A01018,ENERGY,42,0,8,0,0,1385.4162,1435.7,2111.9188,3.6295
,SAIL,INE114A01011,METALS,20,0,20,0,0,119.5,184.88,1307.6,54.7113
,SAMBHV,INE12NJ01018,METALS,30,0,0,0,0,121.54,129.6,241.8,6.6316
,SANGHVIMOV,INE989A01032,ENGINEERING & CAPITAL GOODS,70,0,0,0,0,297.7786,338.7,2864.5,13.7422
,SBIN,INE062A01020,FINANCIAL SERVICES,31,0,0,0,0,862.0694,1019.55,4881.9,18.2677
,SCI,INE109A01011,LOGISTICS,84,0,0,0,0,235.6348,339.05,8686.88,43.8879
,SGBDE31III-GB,IN0020230168,,30,0,30,0,0,6149,15678.99,285899.7,154.9844
,SHRIRAMFIN,INE721A01047,FINANCIAL SERVICES,10,0,10,0,0,557.3,1007.95,4506.5,80.8631
,SILVERCASE-E,INF0R8F01091,ETF,647,0,0,0,0,19.8261,25.5,3671.02,28.6184
,SONACOMS,INE073K01018,AUTO ANCILLARY,12,0,0,0,0,464.5,579.3,1377.6,24.7147
,SWSOLAR,INE00M201021,ENGINEERING & CAPITAL GOODS,10,0,10,0,0,666,218.15,-4478.5,-67.2447
,TARSONS,INE144Z01023,CHEMICALS,9,0,9,0,0,598.5556,227.75,-3337.25,-61.9501
,TATACAP,INE976I01016,FINANCIAL SERVICES,46,0,0,0,0,326,321.7,-197.8,-1.319
,TATAPOWER,INE245A01021,ENERGY,6,0,6,0,0,391.5,436,267,11.3665
,TECHM,INE669C01036,SOFTWARE SERVICES,23,0,10,0,0,1515.413,1463.05,-1204.35,-3.4554
,THERMAX,INE152A01029,ENGINEERING & CAPITAL GOODS,3,0,3,0,0,4004.2333,4681.15,2030.75,16.905
,TMPV,INE155A01022,AUTO ANCILLARY,10,0,10,0,0,203.4518,355.45,1519.9825,74.7097
,TORNTPHARM,INE685A01028,HEALTHCARE,23,0,0,0,0,4271.1348,4380.8,2522.3,2.5676
,TOTAL,INE336X01012,LOGISTICS,35,0,0,0,0,80,58.37,-757.05,-27.0375
,V2RETAIL,INE945H01021,RETAIL,20,0,0,0,0,218.7,219.95,25,0.5716
,VBL,INE200M01039,FMCG,25,0,25,0,0,90.68,509.05,10459.25,461.3697
,VEDL,INE205A01025,METALS,5,0,5,0,0,321.5,296.45,-125.25,-7.7916
,VGUARD,INE951I01027,CONSUMER DURABLES,7,0,0,0,0,318.9,331.4,87.5,3.9197
,VIJAYA,INE043W01024,HEALTHCARE,89,0,0,0,0,946.8539,1278.9,29552.1,35.0684
,VRLLOG,INE366I01010,LOGISTICS,20,0,10,0,0,314,264.8,-984,-15.6688
,WABAG,INE956G01038,ENGINEERING & CAPITAL GOODS,21,0,2,0,0,1375.8857,1478,2144.4,7.4217
,WIPRO,INE075A01022,SOFTWARE SERVICES,10,0,10,0,0,331.5,197.95,-1335.5,-40.2866
