"Instrument","Qty.","Avg. cost","LTP","Invested","Cur. val","P&L","Net chg.","Day chg.",""
"SILVERCASE",649,19.84,28.56,12878.78,18535.44,5656.66,43.92,6.61,""
"SONACOMS",12,464.5,591.35,5574,7096.2,1522.2,27.31,1.24,""
"TATACAP",46,326,305.4,14996,14048.4,-947.6,-6.32,-1.31,""
"TATAPOWER",6,391.5,404.45,2349,2426.7,77.7,3.31,-3.33,""
"TECHM",23,1515.41,1375,34854.5,31625,-3229.5,-9.27,-1.29,""
"THERMAX",3,4004.23,4544.45,12012.7,13633.35,1620.65,13.49,1.33,""
"TMPV",10,203.45,336.7,2034.52,3367,1332.48,65.49,-0.07,""
"TORNTPHARM",23,4271.13,4295.8,98236.1,98803.4,567.3,0.58,-1.96,""
"TOTAL",0,80,54.67,0,0,0,-31.66,-2.37,""
"V2RETAIL",20,218.7,237.79,4374,4755.8,381.8,8.73,8.03,""
"VBL",25,90.68,489.15,2267,12228.75,9961.75,439.42,0.16,""
"VEDL",5,321.5,323.35,1607.5,1616.75,9.25,0.58,6,""
"VGUARD",7,318.9,325.2,2232.3,2276.4,44.1,1.98,1.23,""
"VIJAYA",89,946.85,1284,84270,114276,30006,35.61,0.33,""
"VRLLOG",20,314,248.05,6280,4961,-1319,-21,-3.67,""
"WABAG",21,1375.89,1377.9,28893.6,28935.9,42.3,0.15,0.23,""
